document_id,department,schema_parse_success,scalar_exact_accuracy,scalar_lenient_accuracy,entity_exact_f1,entity_lenient_f1,hallucination_rate,missing_entity_rate,annotation_gap_rate,overall_extraction_score,runtime_seconds,status,failure_label,likely_hallucination_count,annotation_gap_candidate_count,manual_review_required_count
p41_1,Medicine / General Medicine,1,0.2143,0.2143,0.0,0.0,0.0,1.0,1.0,0.2429,8.444,success,,0,1,0
p42_1,Endocrinology,1,0.2143,0.2143,0.0,0.0,0.0,1.0,0.0,0.2429,14.413,success,,0,0,0
p43_1,Medicine / General Medicine,1,0.2143,0.2143,0.0,0.0,0.0,1.0,1.0,0.2429,10.876,success,,0,2,0
p44_1,Radiotherapy,1,0.1429,0.1429,0.0,0.0,0.0,1.0,0.5,0.2286,5.846,success,,0,1,0
p45_1,Unknown / not annotated,1,0.5714,0.5714,0.0,0.0,0.0,1.0,0.0,0.3143,9.417,success,,0,0,0
p45_2,Unknown / not annotated,1,0.4286,0.4286,0.0,0.0,0.0,1.0,0.0,0.2857,10.333,success,,0,0,0
p45_3,Unknown / not annotated,0,,,,,,,,,13.716,failed,schema_invalid_wrong_json_shape,,,
p45_4,Unknown / not annotated,1,0.4286,0.4286,0.0,0.0,0.0,1.0,0.0,0.2857,8.524,success,,0,0,0
p45_5,Radiology,1,0.4286,0.4286,0.0,0.0,0.0,1.0,0.0,0.2857,7.244,success,,0,0,0
p45_6,Radiology,1,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.3,14.62,success,,0,3,0
p45_7,Obstetrics & Gynaecology,1,0.5714,0.5714,0.0,0.0,0.0,1.0,0.0,0.3143,16.364,success,,0,0,0
p45_8,Medicine / General Medicine,1,0.2857,0.2857,0.0,0.0,0.125,1.0,0.0,0.2446,8.56,success,,1,0,0
p45_9,Unknown / not annotated,1,0.9286,0.9286,0.0,0.0,0.0,1.0,0.0,0.3857,8.544,success,,0,0,0
