document_id,department,schema_parse_success,scalar_exact_accuracy,scalar_lenient_accuracy,entity_exact_f1,entity_lenient_f1,hallucination_rate,missing_entity_rate,annotation_gap_rate,overall_extraction_score,runtime_seconds,status,failure_label,likely_hallucination_count,annotation_gap_candidate_count,manual_review_required_count
p28,Medicine / General Medicine,1,0.3571,0.4286,0.0,0.0564,0.0,0.9355,0.8667,0.3111,22.658,success,,0,13,0
p29,Medicine / General Medicine,1,0.2857,0.2857,0.0227,0.1597,0.0,0.7895,0.7568,0.3324,27.415,success,,0,28,0
p30,Medicine / General Medicine,1,0.4286,0.4286,0.0167,0.0294,0.0,0.913,0.9595,0.3014,29.65,success,,0,71,1
p31_1,Surgery,1,0.5,0.6429,0.0,0.0357,0.0,0.92,0.9231,0.3446,19.649,success,,0,36,1
p32_1,Surgery,1,0.4286,0.4286,0.0,0.1008,0.0,0.6667,0.8776,0.3311,19.512,success,,0,43,0
p33_1,Medicine / General Medicine,1,0.4286,0.4286,0.0,0.0,0.0,1.0,1.0,0.2857,10.22,success,,0,4,0
p34_1,Medicine / General Medicine,1,0.5714,0.6429,0.0,0.0,0.0,1.0,1.0,0.3286,14.933,success,,0,5,0
p35_1,Medicine / General Medicine,1,0.5714,0.7143,0.0,0.0942,0.0,0.875,0.7857,0.3852,14.846,success,,0,11,0
p36_1,Endocrinology,1,0.5714,0.7143,0.0417,0.0417,0.0,0.9615,0.8571,0.3679,14.796,success,,0,6,0
p37_1,Dermatology,1,0.4286,0.7857,0.0,0.0524,0.0,0.8889,0.9348,0.3807,26.684,success,,0,43,0
p38_1,Medicine / General Medicine,0,,,,,,,,,24.134,failed,schema_invalid_wrong_json_shape,,,
p39_1,Medicine / General Medicine,1,0.5714,0.8571,0.0,0.05,0.0,0.9444,0.8333,0.3939,12.846,success,,0,5,0
p40_1,Radiotherapy,1,0.4286,0.7143,0.0,0.0,0.0,1.0,1.0,0.3429,34.282,success,,0,8,0
p41_1,Medicine / General Medicine,1,0.5714,0.6429,0.0,0.0625,0.0,0.9412,0.8,0.3567,12.082,success,,0,4,0
p42_1,Endocrinology,1,0.6429,0.6429,0.0,0.1964,0.0,0.8333,0.5556,0.417,20.139,success,,0,5,0
p43_1,Medicine / General Medicine,1,0.4286,0.6429,0.0,0.0,0.0,1.0,1.0,0.3286,18.312,success,,0,7,0
p44_1,Radiotherapy,1,0.5714,0.7857,0.0,0.0,0.0,1.0,0.9394,0.3571,17.23,success,,0,31,2
p45_1,Unknown / not annotated,0,,,,,,,,,31.708,failed,json_parse_failed,,,
p45_2,Unknown / not annotated,1,0.7857,0.8571,0.0,0.0,0.0,1.0,1.0,0.3714,19.266,success,,0,23,0
p45_3,Unknown / not annotated,1,0.7857,0.8571,0.0833,0.1833,0.0,0.8846,0.625,0.4664,22.44,success,,0,5,0
p45_4,Unknown / not annotated,0,,,,,,,,,68.08,failed,schema_invalid_wrong_json_shape,,,
p45_5,Radiology,1,0.4286,0.4286,0.0,0.0,0.0,1.0,0.0,0.2857,11.295,success,,0,0,0
p45_6,Radiology,1,0.8571,0.8571,0.1875,0.4145,0.0,0.7143,0.3333,0.5861,19.262,success,,0,5,0
p45_7,Obstetrics & Gynaecology,1,0.5714,0.7143,0.0833,0.0833,0.0,0.931,0.7857,0.3929,15.871,success,,0,11,1
p45_8,Medicine / General Medicine,1,0.7857,0.7857,0.25,0.3654,0.0,0.2667,0.1538,0.5591,17.412,success,,0,2,0
p45_9,Unknown / not annotated,1,0.7857,0.7857,0.0,0.0,0.4,1.0,0.2,0.3171,8.52,success,,2,1,2
